Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,Week,Term 1,Term 2,Term 3,,,,,,
1/19/14,2014-1,"120,000","3,000","7,100,000","32,000","17,500",,5/4/08,26,32,59,,,,,,
1/20/14,2014-1,"150,000","4,000","7,700,000","48,000","27,700",,5/11/08,29,25,57,,,,,,
1/21/14,2014-1,"190,000","5,000","7,500,000","42,000","24,700",,5/18/08,23,39,63,,,,,,
1/22/14,2014-1,"210,000","5,000","8,600,000","37,000","25,600",,5/25/08,24,24,58,,,,,,
1/23/14,2014-1,"180,000","5,000","7,800,000","43,000","27,500",,6/1/08,23,15,55,,,,,,
1/24/14,2014-1,"160,000","4,000","9,600,000","38,000","25,500",,6/8/08,24,20,53,,,,,,
1/25/14,2014-1,"120,000","3,000","11,300,000","40,000","21,900",,6/15/08,20,24,49,,,,,,
1/26/14,2014-1,"130,000","3,000","12,600,000","43,000","23,400",,6/22/08,23,18,46,,,,,,
1/27/14,2014-1,"250,000","5,000","19,700,000","68,000","39,700",,6/29/08,23,19,46,,,,,,
1/28/14,2014-1,"290,000","5,000","27,300,000","110,000","55,300",,7/6/08,26,17,45,,,,,,
1/29/14,2014-1,"300,000","4,000","28,100,000","110,000","57,000",,7/13/08,26,11,46,,,,,,
1/30/14,2014-1,"250,000","5,000","27,000,000","110,000","56,900",,7/20/08,25,16,50,,,,,,
1/31/14,2014-1,"200,000","4,000","23,800,000","100,000","54,200",,7/27/08,24,11,46,,,,,,
2/1/14,2014-2,"170,000","3,000","6,500,000","34,000","30,100",,8/3/08,30,12,47,,,,,,
2/2/14,2014-2,"170,000","3,000","6,300,000","28,000","25,600",,8/10/08,31,21,54,,,,,,
2/3/14,2014-2,"210,000","5,000","10,900,000","46,000","37,800",,8/17/08,33,18,67,,,,,,
2/4/14,2014-2,"200,000","4,000","6,300,000","30,000","33,600",,8/24/08,32,17,58,,,,,,
2/5/14,2014-2,"190,000","4,000","8,600,000","31,000","29,800",,8/31/08,27,14,58,,,,,,
2/6/14,2014-2,"190,000","4,000","10,600,000","34,000","30,000",,9/7/08,30,17,65,,,,,,
2/7/14,2014-2,"160,000","4,000","10,000,000","33,000","25,400",,9/14/08,34,17,63,,,,,,
2/8/14,2014-2,"120,000","2,000","10,500,000","41,000","24,000",,9/21/08,35,28,77,,,,,,
2/9/14,2014-2,"130,000","3,000","10,400,000","31,000","20,800",,9/28/08,30,25,69,,,,,,
2/10/14,2014-2,"180,000","4,000","10,800,000","39,000","28,800",,10/5/08,40,34,65,,,,,,
2/11/14,2014-2,"180,000","4,000","12,700,000","36,000","28,400",,10/12/08,35,23,74,,,,,,
2/12/14,2014-2,"170,000","4,000","16,200,000","43,000","31,400",,10/19/08,35,29,83,,,,,,
2/13/14,2014-2,"160,000","4,000","19,200,000","48,000","33,200",,10/26/08,37,15,73,,,,,,
2/14/14,2014-2,"120,000","3,000","16,300,000","45,000","29,800",,11/2/08,34,25,69,,,,,,
2/15/14,2014-2,"110,000","2,000","14,400,000","38,000","25,400",,11/9/08,32,30,75,,,,,,
2/16/14,2014-2,"120,000","2,000","15,800,000","53,000","30,200",,11/16/08,34,32,73,,,,,,
2/17/14,2014-2,"170,000","4,000","15,400,000","27,000","24,700",,11/23/08,26,21,58,,,,,,
2/18/14,2014-2,"190,000","4,000","18,900,000","49,000","35,400",,11/30/08,35,29,67,,,,,,
2/19/14,2014-2,"190,000","4,000","15,800,000","50,000","36,000",,12/7/08,42,27,67,,,,,,
2/20/14,2014-2,"180,000","5,000","13,500,000","37,000","32,300",,12/14/08,33,18,56,,,,,,
2/21/14,2014-2,"160,000","4,000","13,500,000","43,000","33,000",,12/21/08,22,18,33,,,,,,
2/22/14,2014-2,"120,000","3,000","13,400,000","47,000","31,200",,12/28/08,28,18,37,,,,,,
2/23/14,2014-2,"140,000","3,000","12,500,000","39,000","27,900",,1/4/09,30,13,59,,,,,,
2/24/14,2014-2,"230,000","7,000","14,500,000","46,000","38,400",,1/11/09,33,23,60,,,,,,
2/25/14,2014-2,"270,000","7,000","14,300,000","42,000","37,400",,1/18/09,33,20,61,,,,,,
2/26/14,2014-2,"220,000","5,000","14,900,000","42,000","35,400",,1/25/09,33,21,64,,,,,,
2/27/14,2014-2,"190,000","5,000","18,400,000","56,000","37,500",,2/1/09,36,23,61,,,,,,
2/28/14,2014-2,"210,000","5,000","16,200,000","50,000","35,000",,2/8/09,34,25,64,,,,,,
3/1/14,2014-3,"55,000","2,000","8,200,000","36,000","25,300",,2/15/09,39,16,61,,,,,,
3/2/14,2014-3,"130,000","3,000","16,300,000","49,000","31,200",,2/22/09,39,24,62,,,,,,
3/3/14,2014-3,"100,000","3,000","12,000,000","47,000","34,300",,3/1/09,39,24,61,,,,,,
3/4/14,2014-3,"160,000","5,000","9,700,000","23,000","26,300",,3/8/09,40,30,65,,,,,,
3/5/14,2014-3,"180,000","5,000","13,600,000","24,000","26,500",,3/15/09,40,29,63,,,,,,
3/6/14,2014-3,"190,000","5,000","41,400,000","35,000","28,800",,3/22/09,34,25,63,,,,,,
3/7/14,2014-3,"160,000","4,000","13,300,000","29,000","24,200",,3/29/09,39,32,61,,,,,,
3/8/14,2014-3,"130,000","3,000","57,100,000","79,000","50,100",,4/5/09,34,34,58,,,,,,
3/9/14,2014-3,"140,000","3,000","10,000,000","56,000","18,800",,4/12/09,37,33,58,,,,,,
3/10/14,2014-3,"200,000","5,000","12,200,000","39,000","24,000",,4/19/09,37,37,65,,,,,,
3/11/14,2014-3,"230,000","7,000","12,900,000","44,000","28,400",,4/26/09,41,25,64,,,,,,
3/12/14,2014-3,"240,000","7,000","12,500,000","40,000","26,600",,5/3/09,43,26,61,,,,,,
3/13/14,2014-3,"200,000","5,000","23,900,000","32,000","28,300",,5/10/09,34,24,58,,,,,,
3/14/14,2014-3,"170,000","4,000","14,400,000","29,000","24,700",,5/17/09,39,21,73,,,,,,
3/15/14,2014-3,"140,000","3,000","165,400,000","120,000","70,400",,5/24/09,31,26,56,,,,,,
3/16/14,2014-3,"150,000","3,000","12,000,000","20,000","19,300",,5/31/09,31,23,56,,,,,,
3/17/14,2014-3,"190,000","5,000","14,900,000","33,000","28,200",,6/7/09,33,23,53,,,,,,
3/18/14,2014-3,"170,000","5,000","13,900,000","32,000","26,700",,6/14/09,33,17,52,,,,,,
3/19/14,2014-3,"170,000","5,000","25,900,000","51,000","36,300",,6/21/09,31,22,49,,,,,,
3/20/14,2014-3,"170,000","4,000","17,600,000","55,000","38,200",,6/28/09,28,15,45,,,,,,
3/21/14,2014-3,"120,000","3,000","23,700,000","63,000","39,000",,7/5/09,32,18,47,,,,,,
3/22/14,2014-3,"100,000","2,000","23,100,000","61,000","35,700",,7/12/09,31,12,49,,,,,,
3/23/14,2014-3,"110,000","3,000","29,600,000","65,000","35,800",,7/19/09,31,18,48,,,,,,
3/24/14,2014-3,"120,000","3,000","37,200,000","69,000","44,000",,7/26/09,30,20,49,,,,,,
3/25/14,2014-3,"170,000","4,000","31,900,000","69,000","46,100",,8/2/09,38,20,45,,,,,,
3/26/14,2014-3,"170,000","4,000","31,600,000","69,000","46,000",,8/9/09,32,16,46,,,,,,
3/27/14,2014-3,"200,000","5,000","35,000,000","66,000","44,600",,8/16/09,35,17,49,,,,,,
3/28/14,2014-3,"120,000","3,000","35,600,000","100,000","52,900",,8/23/09,38,15,51,,,,,,
3/29/14,2014-3,"85,000","2,000","38,000,000","140,000","64,000",,8/30/09,39,14,52,,,,,,
3/30/14,2014-3,"100,000","2,000","37,400,000","140,000","66,200",,9/6/09,34,15,57,,,,,,
3/31/14,2014-3,"140,000","4,000","32,500,000","110,000","60,200",,9/13/09,41,23,64,,,,,,
4/1/14,2014-4,"260,000","4,000","4,400,000","24,000","27,400",,9/20/09,49,22,65,,,,,,
4/2/14,2014-4,"290,000","5,000","4,800,000","28,000","24,400",,9/27/09,38,15,66,,,,,,
4/3/14,2014-4,"250,000","4,000","5,900,000","29,000","22,300",,10/4/09,41,32,68,,,,,,
4/4/14,2014-4,"250,000","4,000","5,800,000","29,000","20,000",,10/11/09,43,20,64,,,,,,
4/5/14,2014-4,"240,000","3,000","4,600,000","28,000","16,100",,10/18/09,40,25,65,,,,,,
4/6/14,2014-4,"260,000","3,000","4,800,000","31,000","15,300",,10/25/09,43,18,62,,,,,,
4/7/14,2014-4,"270,000","4,000","5,800,000","28,000","19,100",,11/1/09,38,23,68,,,,,,
4/8/14,2014-4,"230,000","4,000","6,100,000","29,000","20,100",,11/8/09,41,27,68,,,,,,
4/9/14,2014-4,"180,000","4,000","7,100,000","26,000","18,500",,11/15/09,38,33,64,,,,,,
4/10/14,2014-4,"160,000","4,000","9,400,000","31,000","19,800",,11/22/09,29,29,59,,,,,,
4/11/14,2014-4,"100,000","3,000","9,900,000","30,000","18,000",,11/29/09,41,30,62,,,,,,
4/12/14,2014-4,"110,000","2,000","7,900,000","28,000","13,800",,12/6/09,54,25,62,,,,,,
4/13/14,2014-4,"120,000","3,000","8,000,000","29,000","13,600",,12/13/09,49,20,54,,,,,,
4/14/14,2014-4,"130,000","3,000","9,500,000","27,000","18,100",,12/20/09,29,16,38,,,,,,
4/15/14,2014-4,"140,000","4,000","9,900,000","30,000","19,800",,12/27/09,29,16,44,,,,,,
4/16/14,2014-4,"130,000","3,000","15,900,000","32,000","20,300",,1/3/10,38,25,54,,,,,,
4/17/14,2014-4,"150,000","4,000","16,400,000","34,000","21,300",,1/10/10,42,29,57,,,,,,
4/18/14,2014-4,"130,000","3,000","16,400,000","33,000","18,300",,1/17/10,36,21,60,,,,,,
4/19/14,2014-4,"110,000","3,000","15,600,000","37,000","16,300",,1/24/10,40,30,62,,,,,,
4/20/14,2014-4,"110,000","2,000","15,300,000","38,000","17,000",,1/31/10,37,23,63,,,,,,
4/21/14,2014-4,"140,000","4,000","17,200,000","30,000","20,500",,2/7/10,37,36,60,,,,,,
4/22/14,2014-4,"140,000","4,000","18,600,000","39,000","24,300",,2/14/10,41,22,62,,,,,,
4/23/14,2014-4,"140,000","4,000","18,000,000","32,000","20,700",,2/21/10,40,29,64,,,,,,
4/24/14,2014-4,"140,000","4,000","25,200,000","41,000","25,800",,2/28/10,43,30,66,,,,,,
4/25/14,2014-4,"130,000","3,000","23,700,000","41,000","23,500",,3/7/10,44,33,70,,,,,,
4/26/14,2014-4,"100,000","2,000","21,000,000","41,000","19,400",,3/14/10,41,27,68,,,,,,
4/27/14,2014-4,"120,000","3,000","20,500,000","41,000","20,700",,3/21/10,48,37,71,,,,,,
4/28/14,2014-4,"170,000","4,000","23,800,000","40,000","25,400",,3/28/10,44,21,63,,,,,,
4/29/14,2014-4,"180,000","6,000","17,400,000","32,000","25,300",,4/4/10,51,28,70,,,,,,
4/30/14,2014-4,"160,000","4,000","16,800,000","28,000","21,700",,4/11/10,42,40,67,,,,,,
5/1/14,2014-5,"170,000","4,000","6,900,000","19,000","18,700",,4/18/10,45,33,71,,,,,,
5/2/14,2014-5,"140,000","4,000","8,000,000","21,000","17,600",,4/25/10,51,40,73,,,,,,
5/3/14,2014-5,"120,000","3,000","7,000,000","22,000","14,100",,5/2/10,51,29,67,,,,,,
5/4/14,2014-5,"140,000","3,000","5,500,000","23,000","14,200",,5/9/10,45,27,65,,,,,,
5/5/14,2014-5,"160,000","4,000","5,800,000","21,000","18,400",,5/16/10,43,30,74,,,,,,
5/6/14,2014-5,"170,000","5,000","6,500,000","24,000","19,800",,5/23/10,36,21,61,,,,,,
5/7/14,2014-5,"160,000","4,000","6,600,000","23,000","19,400",,5/30/10,37,21,57,,,,,,
5/8/14,2014-5,"170,000","4,000","6,400,000","23,000","18,500",,6/6/10,38,17,53,,,,,,
5/9/14,2014-5,"170,000","4,000","5,900,000","22,000","16,600",,6/13/10,36,19,52,,,,,,
5/10/14,2014-5,"130,000","3,000","6,000,000","25,000","14,500",,6/20/10,35,19,49,,,,,,
5/11/14,2014-5,"120,000","3,000","5,600,000","22,000","12,700",,6/27/10,37,16,48,,,,,,
5/12/14,2014-5,"190,000","5,000","6,300,000","22,000","18,500",,7/4/10,39,13,49,,,,,,
5/13/14,2014-5,"200,000","5,000","7,300,000","24,000","19,900",,7/11/10,43,16,49,,,,,,
5/14/14,2014-5,"200,000","5,000","7,400,000","25,000","20,600",,7/18/10,40,23,53,,,,,,
5/15/14,2014-5,"190,000","4,000","8,100,000","22,000","19,300",,7/25/10,41,15,50,,,,,,
5/16/14,2014-5,"160,000","4,000","9,700,000","23,000","18,000",,8/1/10,42,25,52,,,,,,
5/17/14,2014-5,"120,000","3,000","9,200,000","21,000","14,100",,8/8/10,47,17,54,,,,,,
5/18/14,2014-5,"130,000","3,000","9,600,000","24,000","15,300",,8/15/10,48,17,55,,,,,,
5/19/14,2014-5,"200,000","5,000","10,200,000","23,000","18,800",,8/22/10,46,20,53,,,,,,
5/20/14,2014-5,"200,000","5,000","10,600,000","23,000","19,100",,8/29/10,53,17,54,,,,,,
5/21/14,2014-5,"190,000","5,000","10,600,000","23,000","19,300",,9/5/10,48,18,55,,,,,,
5/22/14,2014-5,"190,000","4,000","10,700,000","22,000","18,300",,9/12/10,53,18,70,,,,,,
5/23/14,2014-5,"160,000","4,000","10,700,000","26,000","19,000",,9/19/10,57,22,67,,,,,,
5/24/14,2014-5,"120,000","3,000","9,500,000","23,000","14,300",,9/26/10,54,25,78,,,,,,
5/25/14,2014-5,"130,000","3,000","9,400,000","23,000","14,000",,10/3/10,63,23,73,,,,,,
5/26/14,2014-5,"170,000","4,000","9,300,000","24,000","14,700",,10/10/10,58,21,69,,,,,,
5/27/14,2014-5,"210,000","5,000","10,300,000","24,000","20,100",,10/17/10,62,25,64,,,,,,
5/28/14,2014-5,"210,000","5,000","11,200,000","24,000","20,300",,10/24/10,57,22,64,,,,,,
5/29/14,2014-5,"200,000","5,000","10,300,000","22,000","20,000",,10/31/10,54,24,64,,,,,,
5/30/14,2014-5,"160,000","4,000","12,700,000","29,000","20,400",,11/7/10,60,22,69,,,,,,
5/31/14,2014-5,"130,000","3,000","11,200,000","31,000","16,400",,11/14/10,54,28,73,,,,,,
6/1/14,2014-6,"150,000","4,000","4,600,000","17,000","14,600",,11/21/10,42,18,55,,,,,,
6/2/14,2014-6,"180,000","5,000","5,400,000","20,000","20,300",,11/28/10,52,29,62,,,,,,
6/3/14,2014-6,"180,000","5,000","5,000,000","17,000","18,800",,12/5/10,66,30,65,,,,,,
6/4/14,2014-6,"170,000","4,000","6,700,000","23,000","19,100",,12/12/10,60,25,61,,,,,,
6/5/14,2014-6,"150,000","3,000","6,500,000","24,000","18,700",,12/19/10,43,18,45,,,,,,
6/6/14,2014-6,"140,000","3,000","6,400,000","23,000","17,400",,12/26/10,35,14,44,,,,,,
6/7/14,2014-6,"110,000","3,000","6,000,000","20,000","13,900",,1/2/11,49,23,56,,,,,,
6/8/14,2014-6,"130,000","3,000","6,400,000","25,000","15,500",,1/9/11,48,18,59,,,,,,
6/9/14,2014-6,"160,000","4,000","6,500,000","21,000","17,500",,1/16/11,56,24,59,,,,,,
6/10/14,2014-6,"160,000","4,000","7,200,000","26,000","20,200",,1/23/11,47,25,63,,,,,,
6/11/14,2014-6,"160,000","4,000","6,500,000","23,000","17,800",,1/30/11,49,17,60,,,,,,
6/12/14,2014-6,"160,000","4,000","5,000,000","19,000","16,800",,2/6/11,58,29,68,,,,,,
6/13/14,2014-6,"140,000","4,000","4,400,000","17,000","14,400",,2/13/11,52,22,64,,,,,,
6/14/14,2014-6,"120,000","4,000","5,000,000","25,000","14,900",,2/20/11,55,33,66,,,,,,
6/15/14,2014-6,"120,000","3,000","3,900,000","17,000","11,000",,2/27/11,55,26,64,,,,,,
6/16/14,2014-6,"170,000","5,000","5,300,000","22,000","17,700",,3/6/11,56,30,66,,,,,,
6/17/14,2014-6,"150,000","4,000","5,400,000","24,000","17,500",,3/13/11,49,29,63,,,,,,
6/18/14,2014-6,"150,000","4,000","5,100,000","21,000","16,400",,3/20/11,58,32,68,,,,,,
6/19/14,2014-6,"150,000","4,000","5,500,000","23,000","17,000",,3/27/11,63,31,70,,,,,,
6/20/14,2014-6,"130,000","4,000","5,100,000","22,000","16,100",,4/3/11,61,32,66,,,,,,
6/21/14,2014-6,"110,000","3,000","3,800,000","21,000","11,900",,4/10/11,54,26,70,,,,,,
6/22/14,2014-6,"120,000","4,000","4,100,000","23,000","13,400",,4/17/11,59,30,61,,,,,,
6/23/14,2014-6,"160,000","4,000","5,200,000","19,000","15,700",,4/24/11,65,33,65,,,,,,
6/24/14,2014-6,"160,000","4,000","5,400,000","18,000","16,200",,5/1/11,69,37,62,,,,,,
6/25/14,2014-6,"160,000","4,000","5,700,000","19,000","15,100",,5/8/11,57,37,66,,,,,,
6/26/14,2014-6,"140,000","4,000","5,900,000","19,000","13,000",,5/15/11,54,29,64,,,,,,
6/27/14,2014-6,"130,000","4,000","6,700,000","23,000","14,000",,5/22/11,48,30,68,,,,,,
6/28/14,2014-6,"110,000","3,000","4,900,000","22,000","11,200",,5/29/11,43,22,57,,,,,,
6/29/14,2014-6,"120,000","3,000","5,100,000","21,000","11,200",,6/5/11,50,21,58,,,,,,
6/30/14,2014-6,"150,000","4,000","8,800,000","21,000","14,100",,6/12/11,47,20,55,,,,,,
7/1/14,2014-7,"150,000","4,000","360,000","1,000","9,800",,6/19/11,46,22,54,,,,,,
7/2/14,2014-7,"140,000","4,000","370,000","2,000","9,500",,6/26/11,47,24,51,,,,,,
7/3/14,2014-7,"120,000","3,000","400,000","2,000","8,800",,7/3/11,41,19,49,,,,,,
7/4/14,2014-7,"88,000","3,000","330,000","2,000","5,200",,7/10/11,51,18,53,,,,,,
7/5/14,2014-7,"90,000","3,000","360,000","2,000","5,300",,7/17/11,52,22,52,,,,,,
7/6/14,2014-7,"93,000","3,000","400,000","2,000","5,600",,7/24/11,52,20,59,,,,,,
7/7/14,2014-7,"130,000","4,000","1,900,000","9,000","12,100",,7/31/11,57,16,57,,,,,,
7/8/14,2014-7,"120,000","4,000","3,000,000","15,000","14,900",,8/7/11,55,18,62,,,,,,
7/9/14,2014-7,"120,000","3,000","2,900,000","15,000","14,400",,8/14/11,57,23,63,,,,,,
7/10/14,2014-7,"130,000","3,000","3,600,000","16,000","14,400",,8/21/11,55,15,65,,,,,,
7/11/14,2014-7,"120,000","3,000","3,100,000","14,000","13,100",,8/28/11,65,14,66,,,,,,
7/12/14,2014-7,"93,000","3,000","2,900,000","15,000","10,700",,9/4/11,55,19,66,,,,,,
7/13/14,2014-7,"100,000","3,000","2,800,000","14,000","10,400",,9/11/11,60,21,72,,,,,,
7/14/14,2014-7,"140,000","4,000","3,600,000","19,000","15,400",,9/18/11,69,20,77,,,,,,
7/15/14,2014-7,"130,000","4,000","6,800,000","20,000","15,500",,9/25/11,66,24,76,,,,,,
7/16/14,2014-7,"220,000","4,000","6,800,000","19,000","15,900",,10/2/11,62,27,77,,,,,,
7/17/14,2014-7,"260,000","4,000","5,300,000","21,000","15,800",,10/9/11,70,25,76,,,,,,
7/18/14,2014-7,"200,000","4,000","4,300,000","13,000","12,700",,10/16/11,72,30,83,,,,,,
7/19/14,2014-7,"180,000","3,000","5,000,000","19,000","11,500",,10/23/11,64,28,78,,,,,,
7/20/14,2014-7,"210,000","4,000","4,400,000","16,000","11,100",,10/30/11,67,27,78,,,,,,
7/21/14,2014-7,"260,000","6,000","5,500,000","19,000","16,500",,11/6/11,72,27,77,,,,,,
7/22/14,2014-7,"250,000","5,000","7,600,000","21,000","17,200",,11/13/11,74,32,78,,,,,,
7/23/14,2014-7,"240,000","5,000","8,600,000","22,000","17,000",,11/20/11,58,26,66,,,,,,
7/24/14,2014-7,"230,000","5,000","9,000,000","22,000","17,300",,11/27/11,78,29,77,,,,,,
7/25/14,2014-7,"200,000","5,000","9,000,000","24,000","18,200",,12/4/11,81,35,74,,,,,,
7/26/14,2014-7,"180,000","4,000","7,600,000","23,000","14,600",,12/11/11,90,23,71,,,,,,
7/27/14,2014-7,"190,000","4,000","7,700,000","23,000","14,700",,12/18/11,58,15,55,,,,,,
7/28/14,2014-7,"240,000","5,000","8,200,000","22,000","18,300",,12/25/11,50,10,49,,,,,,
7/29/14,2014-7,"230,000","5,000","7,000,000","21,000","18,000",,1/1/12,60,21,61,,,,,,
7/30/14,2014-7,"240,000","4,000","12,000,000","25,000","19,900",,1/8/12,73,20,73,,,,,,
7/31/14,2014-7,"210,000","4,000","9,100,000","20,000","16,700",,1/15/12,70,24,64,,,,,,
8/1/14,2014-8,"200,000","3,000","5,800,000","21,000","16,500",,1/22/12,77,25,65,,,,,,
8/2/14,2014-8,"200,000","3,000","5,500,000","24,000","15,200",,1/29/12,78,19,65,,,,,,
8/3/14,2014-8,"180,000","3,000","5,100,000","25,000","16,200",,2/5/12,79,25,61,,,,,,
8/4/14,2014-8,"260,000","5,000","5,800,000","23,000","20,000",,2/12/12,75,26,64,,,,,,
8/5/14,2014-8,"230,000","5,000","6,900,000","23,000","19,600",,2/19/12,79,26,65,,,,,,
8/6/14,2014-8,"200,000","5,000","7,400,000","24,000","19,700",,2/26/12,83,31,64,,,,,,
8/7/14,2014-8,"210,000","5,000","8,200,000","25,000","20,000",,3/4/12,76,30,66,,,,,,
8/8/14,2014-8,"190,000","5,000","7,400,000","24,000","20,700",,3/11/12,65,31,63,,,,,,
8/9/14,2014-8,"160,000","4,000","5,700,000","19,000","16,100",,3/18/12,67,30,63,,,,,,
8/10/14,2014-8,"170,000","4,000","6,100,000","23,000","17,000",,3/25/12,69,23,63,,,,,,
8/11/14,2014-8,"240,000","5,000","7,900,000","20,000","20,300",,4/1/12,72,26,57,,,,,,
8/12/14,2014-8,"230,000","5,000","9,800,000","27,000","22,800",,4/8/12,76,31,60,,,,,,
8/13/14,2014-8,"220,000","5,000","8,500,000","22,000","19,100",,4/15/12,74,31,62,,,,,,
8/14/14,2014-8,"210,000","4,000","8,800,000","26,000","18,200",,4/22/12,78,28,63,,,,,,
8/15/14,2014-8,"190,000","4,000","7,700,000","23,000","15,600",,4/29/12,92,36,60,,,,,,
8/16/14,2014-8,"150,000","3,000","8,300,000","28,000","16,000",,5/6/12,76,24,64,,,,,,
8/17/14,2014-8,"170,000","3,000","6,200,000","22,000","13,100",,5/13/12,68,26,60,,,,,,
8/18/14,2014-8,"220,000","5,000","9,300,000","28,000","19,300",,5/20/12,66,26,55,,,,,,
8/19/14,2014-8,"230,000","5,000","8,000,000","26,000","19,200",,5/27/12,57,21,55,,,,,,
8/20/14,2014-8,"340,000","9,000","9,400,000","27,000","22,500",,6/3/12,67,23,55,,,,,,
8/21/14,2014-8,"280,000","7,000","9,100,000","25,000","21,200",,6/10/12,69,23,54,,,,,,
8/22/14,2014-8,"230,000","5,000","7,900,000","24,000","18,900",,6/17/12,64,22,52,,,,,,
8/23/14,2014-8,"180,000","4,000","7,100,000","25,000","16,100",,6/24/12,66,15,50,,,,,,
8/24/14,2014-8,"200,000","5,000","7,900,000","27,000","17,400",,7/1/12,60,16,48,,,,,,
8/25/14,2014-8,"270,000","6,000","8,000,000","23,000","19,100",,7/8/12,58,26,51,,,,,,
8/26/14,2014-8,"280,000","7,000","15,900,000","39,000","21,300",,7/15/12,65,21,52,,,,,,
8/27/14,2014-8,"280,000","7,000","25,000,000","51,000","22,600",,7/22/12,65,19,54,,,,,,
8/28/14,2014-8,"390,000","7,000","28,300,000","54,000","24,600",,7/29/12,63,19,52,,,,,,
8/29/14,2014-8,"300,000","7,000","30,500,000","56,000","25,200",,8/5/12,68,18,54,,,,,,
8/30/14,2014-8,"230,000","5,000","26,700,000","53,000","18,700",,8/12/12,72,27,54,,,,,,
8/31/14,2014-8,"240,000","5,000","25,700,000","52,000","18,000",,8/19/12,72,21,57,,,,,,
9/1/14,2014-9,"290,000","6,000","5,900,000","24,000","16,300",,8/26/12,68,21,57,,,,,,
9/2/14,2014-9,"350,000","7,000","11,300,000","43,000","21,300",,9/2/12,69,22,60,,,,,,
9/3/14,2014-9,"370,000","7,000","11,800,000","40,000","22,100",,9/9/12,79,26,64,,,,,,
9/4/14,2014-9,"370,000","8,000","10,900,000","40,000","22,300",,9/16/12,83,23,67,,,,,,
9/5/14,2014-9,"330,000","7,000","10,800,000","37,000","21,300",,9/23/12,83,21,66,,,,,,
9/6/14,2014-9,"330,000","6,000","9,500,000","35,000","15,600",,9/30/12,81,26,69,,,,,,
9/7/14,2014-9,"320,000","6,000","9,400,000","37,000","16,500",,10/7/12,75,32,70,,,,,,
9/8/14,2014-9,"370,000","8,000","10,200,000","35,000","20,900",,10/14/12,81,29,70,,,,,,
9/9/14,2014-9,"370,000","8,000","10,100,000","37,000","20,500",,10/21/12,83,28,70,,,,,,
9/10/14,2014-9,"370,000","8,000","11,300,000","41,000","57,100",,10/28/12,70,28,63,,,,,,
9/11/14,2014-9,"370,000","7,000","10,700,000","37,000","22,700",,11/4/12,75,33,65,,,,,,
9/12/14,2014-9,"380,000","7,000","18,100,000","85,000","25,100",,11/11/12,78,31,70,,,,,,
9/13/14,2014-9,"330,000","6,000","15,400,000","85,000","22,100",,11/18/12,58,23,63,,,,,,
9/14/14,2014-9,"370,000","6,000","14,900,000","67,000","21,800",,11/25/12,83,22,70,,,,,,
9/15/14,2014-9,"420,000","8,000","26,400,000","110,000","33,100",,12/2/12,96,39,65,,,,,,
9/16/14,2014-9,"490,000","8,000","20,600,000","79,000","31,500",,12/9/12,100,31,64,,,,,,
9/17/14,2014-9,"390,000","9,000","159,100,000","200,000","56,900",,12/16/12,70,18,63,,,,,,
9/18/14,2014-9,"360,000","9,000","20,100,000","82,000","32,800",,12/23/12,54,16,43,,,,,,
